timestamp,id,key,project_id,project_key,parent_id,parent_key,type_id,type_name,status_id,status_name
2022-03-02T11:51:08.602-0500,15733,GOD-177,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:49:51.562-0500,15732,GOD-176,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:51:02.427-0500,15732,GOD-176,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:49:13.101-0500,15731,GOD-175,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:50:59.785-0500,15731,GOD-175,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-03-01T16:48:42.533-0500,15730,GOD-174,10081,GOD,15729,GOD-173,10256,Story,10265,To Do
2022-03-02T11:50:45.632-0500,15730,GOD-174,10081,GOD,15729,GOD-173,10256,Story,10266,In Progress
2022-02-28T16:56:35.476-0500,15729,GOD-173,10081,GOD,null,null,10259,Epic,10265,To Do
2022-03-02T11:47:54.059-0500,15729,GOD-173,10081,GOD,null,null,10259,Epic,10266,In Progress
2022-02-28T09:09:35.494-0500,15725,GOD-172,10081,GOD,15535,GOD-83,10260,Sous-tâche,10265,To Do
2022-03-04T15:59:43.737-0500,15725,GOD-172,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-28T09:09:41.808-0500,15725,GOD-172,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-28T09:07:41.309-0500,15724,GOD-171,10081,GOD,15535,GOD-83,10260,Sous-tâche,10265,To Do
2022-03-04T15:59:41.523-0500,15724,GOD-171,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-28T09:09:40.528-0500,15724,GOD-171,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-28T09:07:32.619-0500,15723,GOD-170,10081,GOD,15535,GOD-83,10260,Sous-tâche,10265,To Do
2022-03-04T15:59:32.530-0500,15723,GOD-170,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-28T09:09:38.932-0500,15723,GOD-170,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-25T13:37:25.960-0500,15720,GOD-169,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-03-08T08:26:39.804-0500,15720,GOD-169,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-02-25T14:55:30.808-0500,15720,GOD-169,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-02-25T14:36:39.036-0500,15720,GOD-169,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-02-25T14:31:05.310-0500,15720,GOD-169,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-02-23T12:05:48.916-0500,15717,GOD-168,10081,GOD,15535,GOD-83,10260,Sous-tâche,10265,To Do
2022-03-07T15:41:31.568-0500,15717,GOD-168,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-23T12:05:57.994-0500,15717,GOD-168,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-23T12:05:42.472-0500,15716,GOD-167,10081,GOD,15535,GOD-83,10260,Sous-tâche,10265,To Do
2022-03-07T15:41:34.402-0500,15716,GOD-167,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-28T09:07:27.522-0500,15716,GOD-167,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-24T16:14:12.736-0500,15716,GOD-167,10081,GOD,15535,GOD-83,10260,Sous-tâche,10267,Done
2022-02-23T12:05:51.588-0500,15716,GOD-167,10081,GOD,15535,GOD-83,10260,Sous-tâche,10266,In Progress
2022-02-22T15:33:16.184-0500,15714,GOD-166,10081,GOD,15710,GOD-162,10260,Sous-tâche,10265,To Do
2022-03-15T09:45:33.929-0400,15714,GOD-166,10081,GOD,15710,GOD-162,10260,Sous-tâche,10266,In Progress
2022-02-22T15:33:07.914-0500,15713,GOD-165,10081,GOD,15710,GOD-162,10260,Sous-tâche,10265,To Do
2022-03-15T09:45:29.579-0400,15713,GOD-165,10081,GOD,15710,GOD-162,10260,Sous-tâche,10267,Done
2022-02-22T15:33:02.349-0500,15712,GOD-164,10081,GOD,15710,GOD-162,10260,Sous-tâche,10265,To Do
2022-03-15T09:45:03.678-0400,15712,GOD-164,10081,GOD,15710,GOD-162,10260,Sous-tâche,10267,Done
2022-02-22T15:32:56.636-0500,15711,GOD-163,10081,GOD,15710,GOD-162,10260,Sous-tâche,10265,To Do
2022-03-15T09:44:56.696-0400,15711,GOD-163,10081,GOD,15710,GOD-162,10260,Sous-tâche,10267,Done
2022-02-22T15:32:23.423-0500,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10265,To Do
2022-03-16T09:59:17.327-0400,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-03-16T09:59:02.472-0400,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
2022-03-15T15:50:57.621-0400,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-03-15T15:50:55.954-0400,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10267,Done
2022-03-10T14:26:23.074-0500,15710,GOD-162,10081,GOD,15418,GOD-26,10256,Story,10266,In Progress
